timestamp,pic index,text,frame_path
2024-01-24 03:15:55,,Image size: 8.3MB Timestamp: 046:0527 (2024-01-24-03:15:55 UTC) GPS Tacs 0. PPS: 0. Gity: 0 | No GPS podéon | ‘Gonvercion Rate: 1.3.40: | ‘Cureeet Images 6061 / 12807 | U/R Keven 07 12897 | Shatin 86 Gens 0 Ganeme 100 |,e:\Pychram_project\Video-OCR\assets\figure\Frames\frame_0894.jpg
2024-01-24 03:15:56,,Image size: 8.3MB Timestamp: 047:0609 (2024-01-24-03:15:56 UTC) GPS Tacs 0. PPS: 0. Gimty: 0 | No GPS poston | ‘Conversion Rate: 1.3.40: | ‘Cureeet Images 606212807 | UR Keven 07 12897 | Shatter 86 Gens 0 Ganene 100 |,e:\Pychram_project\Video-OCR\assets\figure\Frames\frame_0913.jpg
2024-01-24 03:15:57,,Image size: 8.2MB Timestamp: 048:0691 (2024-01-24-03:15:57 UTC) GPS Tacs 0. PPS: 0. Gimity: 0 | No GPS podGon | ‘Gonverdion Rate: 1.3.00: | ‘Cureeet Images 6063 712807 | UR Keven 07 12897 | Shetinr 86 Gens 0 Ganeme 100 |,e:\Pychram_project\Video-OCR\assets\figure\Frames\frame_0934.jpg
2024-01-24 03:15:58,,Image size: 8.2MB Timestamp: 049:0773 (2024-01-24-03:15:58 UTC) GPS Tieee 0. PPS: 0. Gimbty: 0 | No GPS podGon | ‘Conversion Rate: 1.3.00: | ‘Cureent Images 6064 12807 | UR Kevin 07 12897 | Shetine 86 Gann 0. Ganema 1200 |,e:\Pychram_project\Video-OCR\assets\figure\Frames\frame_0954.jpg
2024-01-24 03:15:59,,Image size: 8.1MB Timestamp: 050:0855 (2024-01-24-03:15:59 UTC) GPS Tees 0. PPS: 0. Gimbty: 0 | No GPS podGon | ‘Gonverdion Rate: 1.3.40: | ‘Cureeet Images 6065712807 | U/R Keven 07 12897 | Shetinr 86 Gens 0 Ganeme 100 |,e:\Pychram_project\Video-OCR\assets\figure\Frames\frame_0974.jpg
2024-01-24 03:16:00,,Image size: 8.0MB Timestamp: 051:0937 (2024-01-24-03:16:00 UTC) GPS Tees 0. PPS: 0. Giity: 0 | No GPS podéon | ‘Gonverdion Rate: 1.3.40: | ‘Cureeet Images 60657 12807 | UR Keven 07 12897 | Shetinr 86 Gens 0 Ganeme 1200 |,e:\Pychram_project\Video-OCR\assets\figure\Frames\frame_0994.jpg
2024-01-24 03:23:58,,Image size: 7.9MB Timestamp: 017:7647 (2024-01-24-03:23:58 UTC) GPS Tweee 0. PPS: 0. Gimbty: 0 | No GPS poston | ‘Gonvercion Rae: 1.3.00: | ‘Cureent Images'6590/ 12807 | UR Kevin 07 12897 | Shetinr 86 Gan 0. Ganeme 100 |,e:\Pychram_project\Video-OCR\assets\figure\Frames\frame_10000.jpg
2024-01-24 04:39:03,,"Image size: 8.4MB Timestamp: 052:6097 (2024-01-24-04:39:03 UTC) {GPS Tacx 0, PPS: 0 Qin; 0 «| No GPS:posilion | ‘<Gonversion Rate 1:3."" | ‘Cursed lage: 110097 12807: | U/R Kevieees: 07 12897 | Shatin 06 Gans 0. Garena 1200 |",e:\Pychram_project\Video-OCR\assets\figure\Frames\frame_100000.jpg
2024-01-24 04:39:04,,"Image size: 8.5MB Timestamp: 053:6178 (2024-01-24-04:39:04 UTC) {GPS Taeex 0, PPS: 0 Gini; 0 | No GPS:posiiion | ‘<Gonversion Rate< 1.3."" | ‘Cursed lage: 110107 12807: | OAR Keyieees: 0712887 | Shatin 06 Gens 0. Garena 1200 |",e:\Pychram_project\Video-OCR\assets\figure\Frames\frame_100014.jpg
2024-01-24 04:39:05,,"Image size: 8.4MB Timestamp: 054:6261 (2024-01-24-04:39:05 UTC) {GPS Tacx 0, PPS: 0 Giekityc 0 | No GPS:posiiion | ‘<Gonversion Ratec 1.3."" | ‘Cursent lage: 110117 12807: | UR Keyieees: 07 12887 | Shetine 06 Gain 0. Garena 1200 |",e:\Pychram_project\Video-OCR\assets\figure\Frames\frame_100034.jpg
